Résumé,Clé de ticket,ID de ticket,Type de ticket,État,Clé de projet,Nom du projet,Type de projet,Chef de projet,ID de responsable de projet,Description du projet,Priorité,Résolution,Personne assignée,ID de la personne assignée,Rapporteur,ID de rapporteur,Créateur,ID de créateur,Création,Mise à jour,Dernier affichage,Résolu,Date d'échéance,Votes,Description,Environnement,Observateurs,ID des observateurs,Estimation originale,Estimation restante,Temps consacré,Ratio du travail réel comparé à l'estimation,Σ Estimation originale,Σ Estimation restante,Σ Temps consacré,Niveau de sécurité,Lien du ticket entrant (Blocks),Lien du ticket entrant (Blocks),Lien du ticket entrant (Blocks),Lien du ticket entrant (Blocks),Lien du ticket entrant (Blocks),Lien du ticket entrant (Blocks),Lien du ticket entrant (Blocks),Lien du ticket entrant (Blocks),Lien du ticket entrant (Blocks),Lien du ticket entrant (Blocks),Lien du ticket entrant (Blocks),Lien du ticket entrant (Blocks),Lien du ticket entrant (Blocks),Lien de ticket sortant (Blocks),Pièce jointe,Pièce jointe,Champs personnalisés (Issue color),Champs personnalisés (Rank),Champs personnalisés (Start date),Champs personnalisés (Team),Champs personnalisés (Vulnerability),Champs personnalisés (development),Catégorie d'état,Catégorie d'état modifiée
Formulaire contact / Prénom only,CCS-49,10208,Bug,À faire,CCS,Mon projet Kanban,software,Cyril Brun,5ffb4e14b66825010edbbcbe,Your first project,Medium,,,,Cyril Brun,5ffb4e14b66825010edbbcbe,Cyril Brun,5ffb4e14b66825010edbbcbe,17/févr./26 7:51 PM,17/févr./26 7:55 PM,17/févr./26 7:55 PM,,,0,"Tester le comportement du formulaire et de l’API dans un cas invalide, ici uniquement le Prénom.

* Résultat attendu : Un message d’erreur s’affiche pour indiquer qu’il manque des informations.
* Résultat obtenu : Aucun message d’erreur n’apparaît.
* Criticité : Majeure
* Étapes
** Aller sur la page d’accueil
** Cliquer sur le bouton contact en haut à droite
** Insérer seulement le Prénom valide ci-dessous
** Cliquer sur Envoyer
* Approfondissement
** Le frontend et le backend seront impactés par ce check.
* Données de test
** Prénom : “Anderson”",,Cyril Brun,5ffb4e14b66825010edbbcbe,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009b:,,,,,A faire,17/févr./26 7:51 PM
Formulaire contact / Nom only,CCS-48,10207,Bug,À faire,CCS,Mon projet Kanban,software,Cyril Brun,5ffb4e14b66825010edbbcbe,Your first project,Medium,,,,Cyril Brun,5ffb4e14b66825010edbbcbe,Cyril Brun,5ffb4e14b66825010edbbcbe,17/févr./26 7:46 PM,17/févr./26 7:51 PM,17/févr./26 7:47 PM,,,0,"Tester le comportement du formulaire et de l’API dans un cas invalide, ici uniquement le Nom.

* Résultat attendu : Un message d’erreur s’affiche pour indiquer qu’il manque des informations.
* Résultat obtenu : Aucun message d’erreur n’apparaît.
* Criticité : Majeure
* Étapes
** Aller sur la page d’accueil
** Cliquer sur le bouton contact en haut à droite
** Insérer seulement le nom valide ci-dessous
** Cliquer sur Envoyer
* Approfondissement
** Le frontend et le backend seront impactés par ce check.
* Données de test
** Nom : “Anderson”",,Cyril Brun,5ffb4e14b66825010edbbcbe,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00093:,,,,,A faire,17/févr./26 7:46 PM
Formulaire contact / Happy path valide,CCS-46,10141,Bug,À faire,CCS,Mon projet Kanban,software,Cyril Brun,5ffb4e14b66825010edbbcbe,Your first project,Medium,,,,Cyril Brun,5ffb4e14b66825010edbbcbe,Cyril Brun,5ffb4e14b66825010edbbcbe,13/févr./26 6:36 AM,13/févr./26 6:43 AM,17/févr./26 7:53 PM,,,0,"Tester l’insertion d’une prise de contact valide.

* Résultat attendu : l’API renvoie un status code 201 et un message de succès apparaît
* Résultat obtenu : Un status code 201 est bien renvoyé mais pas de message de succès
* Criticité : Mineure
* Étapes
** Aller sur la page d’accueil
** Cliquer sur le bouton contact en haut à droite
** Insérer les données valides ci-dessus dans les champs correspondants
** Cliquer sur Envoyer
* Approfondissement
** Le frontend et le backend seront impactés par ce check.
* Données de test
** Nom : “Anderson”
** Prénom : “Thomas”
** Email : “thomas.anderson@sion.com”
** Type : “Personnel”
** Message : “Je suis intéressé par vos services.”",,Cyril Brun,5ffb4e14b66825010edbbcbe,,,,,,,,,,,,,,,,,,,,,,CCS-16,,,,0|i0008n:,,,,,A faire,13/févr./26 6:36 AM
Postman / POST Inscription Happy Path,CCS-45,10108,Bug,À faire,CCS,Mon projet Kanban,software,Cyril Brun,5ffb4e14b66825010edbbcbe,Your first project,Medium,,,,Cyril Brun,5ffb4e14b66825010edbbcbe,Cyril Brun,5ffb4e14b66825010edbbcbe,08/févr./26 11:10 AM,13/févr./26 7:15 AM,13/févr./26 7:14 AM,,,0,"Tester le comportement de l’API en lui demandant d’insérer un formulaire valide.

* Résultat attendu : L’api renvoie un status code 201.
* Résultat obtenu : Erreur 400 Bad Request.
* Criticité : Critique
* Étapes
** Requêter l’endpoint http://localhost:8080/api/inscription avec une requête de type POST.
* DOnnées de test
** Corps de la requête
{noformat}{
    ""name"": ""Thomas"",
    ""surname"": ""Anderson"",
    ""email"": ""neo@matrix.com"",
    ""message"": ""Je m'inscris à l'event !""
}{noformat}",,Cyril Brun,5ffb4e14b66825010edbbcbe,,,,,,,,,,,,,,,,,,,,,,CCS-18,08/févr./26 11:12 AM;88467814-9fb7-4995-ad9e-7e0ff54d9013;Capture d’écran 2026-02-08 111144.png;https://learningtestauto.atlassian.net/rest/api/3/attachment/content/10033,,,0|i0008f:,,,,,A faire,08/févr./26 11:10 AM
Postman / POST Injection XSS,CCS-44,10107,Bug,À faire,CCS,Mon projet Kanban,software,Cyril Brun,5ffb4e14b66825010edbbcbe,Your first project,Medium,,,,Cyril Brun,5ffb4e14b66825010edbbcbe,Cyril Brun,5ffb4e14b66825010edbbcbe,08/févr./26 11:08 AM,13/févr./26 7:14 AM,13/févr./26 7:13 AM,,,0,"Tester le comportement de l’API en lui demandant d’insérer un formulaire contenant du code JS.

* Résultat attendu : L’api renvoie une erreur 400 BadRequest
* Résultat obtenu : Success 201. Inscription faite.
* Criticité : Critique
* Étapes
** Requêter l’endpoint http://localhost:8080/api/contact avec une requête de type POST.
* Données de test
** Corp de la requête : 
{noformat}{
    ""name"": ""Hacker"",
    ""prenom"": ""XSS"",
    ""type"": ""personnel"",
    ""email"": ""hacker@test.com"",
    ""message"": ""<script>alert(1)</script>""
}{noformat}",,Cyril Brun,5ffb4e14b66825010edbbcbe,,,,,,,,,,,,,,,,,,,,,,CCS-18,08/févr./26 11:10 AM;88467814-9fb7-4995-ad9e-7e0ff54d9013;Capture d’écran 2026-02-08 111016.png;https://learningtestauto.atlassian.net/rest/api/3/attachment/content/10032,,,0|i00087:,,,,,A faire,08/févr./26 11:08 AM
Postman / POST Formulaire contact avec mail mal formaté,CCS-43,10106,Bug,À faire,CCS,Mon projet Kanban,software,Cyril Brun,5ffb4e14b66825010edbbcbe,Your first project,Medium,,,,Cyril Brun,5ffb4e14b66825010edbbcbe,Cyril Brun,5ffb4e14b66825010edbbcbe,08/févr./26 11:04 AM,13/févr./26 7:15 AM,13/févr./26 7:15 AM,,,0,"Tester le comportement de l’API en lui demandant d’insérer un formulaire valide à l’exception du mail.

* Résultat attendu : L’api renvoie une erreur 400 BadRequest
* Résultat obtenu : Erreur 500 remontée
* Criticité : Majeure
* Étapes
** Requêter l’endpoint http://localhost:8080/api/events/inscription avec une requête de type POST.
* Données de test
** Url de l’endpoint ci-jointe
** Corps de la requête:
{noformat}{
    ""name"": ""Thomas"",
    ""surname"": ""Anderson"",
    ""email"": ""Neo@matrix.com"",
    ""message"": ""Je m'inscris à l'event !""
}{noformat}
",,Cyril Brun,5ffb4e14b66825010edbbcbe,,,,,,,,,,,,,,,,,,,,,,CCS-18,08/févr./26 11:06 AM;88467814-9fb7-4995-ad9e-7e0ff54d9013;Capture d’écran 2026-02-07 à 13.57.05.png;https://learningtestauto.atlassian.net/rest/api/3/attachment/content/10031,,,0|i0007z:,,,,,A faire,08/févr./26 11:04 AM
Postman / Récupérer dernier événement,CCS-42,10105,Bug,À faire,CCS,Mon projet Kanban,software,Cyril Brun,5ffb4e14b66825010edbbcbe,Your first project,Medium,,,,Cyril Brun,5ffb4e14b66825010edbbcbe,Cyril Brun,5ffb4e14b66825010edbbcbe,08/févr./26 10:59 AM,13/févr./26 7:10 AM,,,,0,"Tester le comportement de l’API en lui demandant de remonter le dernier événement.

* Résultat attendu : L’api renvoie le dernier événment et un Status Code 200.
* Résultat obtenu : Erreur 500 remontée
* Criticité : Majeure
* Étapes
** Requêter l’endpoint http://localhost:8080/api/events/last avec une requête de type GET.
* Données de test
** Url de l’endpoint ci-jointe",,Cyril Brun,5ffb4e14b66825010edbbcbe,,,,,,,,,,,,,,,,,,,,,,CCS-18,08/févr./26 10:59 AM;88467814-9fb7-4995-ad9e-7e0ff54d9013;Capture d’écran 2026-02-02 à 19.25.48.png;https://learningtestauto.atlassian.net/rest/api/3/attachment/content/10029,08/févr./26 11:03 AM;88467814-9fb7-4995-ad9e-7e0ff54d9013;Capture d’écran 2026-02-08 110320.png;https://learningtestauto.atlassian.net/rest/api/3/attachment/content/10030,,0|i0007r:,,,,,A faire,08/févr./26 10:59 AM
Postman / ID incorrect,CCS-41,10104,Bug,À faire,CCS,Mon projet Kanban,software,Cyril Brun,5ffb4e14b66825010edbbcbe,Your first project,Medium,,,,Cyril Brun,5ffb4e14b66825010edbbcbe,Cyril Brun,5ffb4e14b66825010edbbcbe,08/févr./26 10:55 AM,13/févr./26 7:10 AM,13/févr./26 7:55 AM,,,0,"Tester le comportement de l’API en lui donnant un ID d'événement à récupérer totalement incorrect.

* Résultat attendu : L’api renvoie une erreur 404 Not Found
* Résultat obtenu : Crash fatal de l’API.
* Criticité : Critique
* Étapes
** Requêter l’endpoint http://localhost:8080/api/events/ceci-nest-pas-un-object-id-valide avec une requête de type GET.
* Données de test
** Url de l’endpoint ci-jointe",,Cyril Brun,5ffb4e14b66825010edbbcbe,,,,,,,,,,,,,,,,,,,,,,CCS-18,08/févr./26 10:57 AM;88467814-9fb7-4995-ad9e-7e0ff54d9013;Capture d’écran 2026-02-07 à 14.01.17.png;https://learningtestauto.atlassian.net/rest/api/3/attachment/content/10028,,,0|i0007j:,,,,,A faire,08/févr./26 10:55 AM
Postman / ID Mal formaté mais de bonne longueur,CCS-40,10103,Bug,À faire,CCS,Mon projet Kanban,software,Cyril Brun,5ffb4e14b66825010edbbcbe,Your first project,Medium,,,,Cyril Brun,5ffb4e14b66825010edbbcbe,Cyril Brun,5ffb4e14b66825010edbbcbe,08/févr./26 10:53 AM,13/févr./26 7:09 AM,13/févr./26 7:26 AM,,,0,"Tester le comportement de l’API en lui donnant un ID d'événement à récupérer mal formaté mais de bonne longueur.

* Résultat attendu : L’api renvoie une erreur 404 Not Found
* Résultat obtenu : Crash fatal de l’API.
* Criticité : Critique
* Étapes
** Requêter l’endpoint [http://localhost:8080/api/events/zzzzzzzzzzzzzzzzzzzzzzzz|http://localhost:8080/api/events/zzzzzzzzzzzzzzzzzzzzzzzz] avec une requête de type GET.
* Données de test
** Url de l’endpoint ci-jointe",,Cyril Brun,5ffb4e14b66825010edbbcbe,,,,,,,,,,,,,,,,,,,,,,CCS-18,08/févr./26 10:54 AM;88467814-9fb7-4995-ad9e-7e0ff54d9013;Capture d’écran 2026-02-07 à 14.08.36.png;https://learningtestauto.atlassian.net/rest/api/3/attachment/content/10027,,,0|i0007b:,,,,,A faire,08/févr./26 10:53 AM
Postman / ID event trop court,CCS-39,10102,Bug,À faire,CCS,Mon projet Kanban,software,Cyril Brun,5ffb4e14b66825010edbbcbe,Your first project,Medium,,,,Cyril Brun,5ffb4e14b66825010edbbcbe,Cyril Brun,5ffb4e14b66825010edbbcbe,08/févr./26 10:48 AM,13/févr./26 7:26 AM,13/févr./26 7:26 AM,,,0,"Tester le comportement de l’API en lui donnant un ID d'événement à récupérer trop court.

* Résultat attendu : L’api renvoie une erreur 4004 Not Found
* Résultat obtenu : Crash fatal de l’API.
* Criticité : Critique
* Étapes
** Requêter l’endpoint [http://localhost:8080/api/events/123456|http://localhost:8080/api/events/123456] avec une requête de type GET.
* Données de test
** Url de l’endpoint ci-jointe",,Cyril Brun,5ffb4e14b66825010edbbcbe,,,,,,,,,,,,,,,,,,,,,,CCS-18,08/févr./26 10:52 AM;88467814-9fb7-4995-ad9e-7e0ff54d9013;Capture d’écran 2026-02-07 à 14.06.04.png;https://learningtestauto.atlassian.net/rest/api/3/attachment/content/10026,,,0|i00073:,,,,,A faire,08/févr./26 10:48 AM
Formulaire inscription / Adresse mail mal formatée,CCS-38,10101,Bug,À faire,CCS,Mon projet Kanban,software,Cyril Brun,5ffb4e14b66825010edbbcbe,Your first project,Medium,,,,Cyril Brun,5ffb4e14b66825010edbbcbe,Cyril Brun,5ffb4e14b66825010edbbcbe,08/févr./26 10:45 AM,13/févr./26 7:08 AM,13/févr./26 7:26 AM,,,0,"Tester l’insertion d’un mail invalide.

* Résultat attendu : l’input n’accepte pas le mail si il est mal formaté
* Résultat obtenu : l’input a accepté le mail en Capitalized
* Criticité : Majeure
* Étapes
** Aller sur la page d’accueil
** Cliquer sur l'événement désiré
** Insérer l’adresse mail invalide ci-dessous.
** Regarder l’input
** Envoyer
* Approfondissement
** Le frontend et le backend seront impactés par ce check.
* Données de test
** Nom : “Anderson”
** Prénom : “Thomas”
** Date : “10/06/2027”
** Email : “Thomas.Anderson@sion.com”",,Cyril Brun,5ffb4e14b66825010edbbcbe,,,,,,,,,,,,,,,,,,,,,,CCS-17,08/févr./26 10:46 AM;88467814-9fb7-4995-ad9e-7e0ff54d9013;Capture d’écran 2026-02-08 104616.png;https://learningtestauto.atlassian.net/rest/api/3/attachment/content/10025,,,0|i0006v:,,,,,A faire,08/févr./26 10:45 AM
Formulaire inscription / Injection SQL,CCS-37,10100,Bug,À faire,CCS,Mon projet Kanban,software,Cyril Brun,5ffb4e14b66825010edbbcbe,Your first project,Medium,,,,Cyril Brun,5ffb4e14b66825010edbbcbe,Cyril Brun,5ffb4e14b66825010edbbcbe,08/févr./26 10:42 AM,13/févr./26 7:08 AM,13/févr./26 7:25 AM,,,0,"Tester l’input pour empêcher l’injection SQL.

* Résultat attendu : l’input n’accepte pas
* Résultat obtenu : l’input a accepté 'Thomas OR 1=1 '
* Criticité : Critique
* Étapes
** Aller sur la page d’accueil
** Cliquer sur l'événement désiré
** Insérer ' OR 1 =1 ' dans un input du formulaire.
** Envoyer
* Approfondissement
** Le backend sera impacté par ce check.
* Données de test
** Nom : “Anderson”
** Prénom : “Thomas OR 1=1”
** Date : “10/06/2027”
** Email : “thomas.anderson@sion.com”",,Cyril Brun,5ffb4e14b66825010edbbcbe,,,,,,,,,,,,,,,,,,,,,,CCS-17,08/févr./26 10:43 AM;88467814-9fb7-4995-ad9e-7e0ff54d9013;Capture d’écran 2026-02-08 104325.png;https://learningtestauto.atlassian.net/rest/api/3/attachment/content/10024,,,0|i0006n:,,,,,A faire,08/févr./26 10:42 AM
